City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Narasannapeta,IN,78.57,clear sky,18.4167,84.05,AVK events and catering
5,Bom Jesus,BR,85.41,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
13,Hithadhoo,MV,82.85,few clouds,-0.6,73.0833,Scoop Guest House
16,Dhone,IN,81.59,clear sky,15.4167,77.8833,Pennera Rakesh
19,Tecoanapa,MX,85.42,overcast clouds,16.5167,-98.75,Hotel Manglares
25,Mahebourg,MU,75.49,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
26,Road Town,VG,80.64,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
29,Puerto Ayora,EC,85.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
33,Bambous Virieux,MU,75.45,moderate rain,-20.3428,57.7575,Casa Tia Villa
37,Kieta,PG,79.43,light rain,-6.2167,155.6333,Uruna Bay Retreat
38,Bowen,AU,79.59,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
39,Isangel,VU,81.72,overcast clouds,-19.55,169.2667,Tanna Lodge
41,Lorengau,PG,78.98,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
42,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
50,Arraial Do Cabo,BR,76.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
59,Butaritari,KI,81.52,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
63,Saint-Joseph,RE,75.58,very heavy rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
66,San Juan De Uraba,CO,83.01,scattered clouds,8.7592,-76.5297,Hotel Cerro De Zumba
67,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
70,Itarema,BR,76.73,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
75,Caravelas,BR,77.95,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
76,Nizwa,OM,77.47,few clouds,22.9333,57.5333,Orient Apartments
79,Hilo,US,76.24,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
81,Carnarvon,AU,75.27,few clouds,-24.8667,113.6333,Hospitality Carnarvon
83,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
86,Tabou,CI,79.27,light rain,4.423,-7.3528,hotêl doufoulougou
94,Sorong,ID,79.16,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
99,Hambantota,LK,78.37,few clouds,6.1241,81.1185,Bungalow 63
100,Nha Trang,VN,78.8,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
106,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
107,Sao Jose De Piranhas,BR,76.14,broken clouds,-7.1206,-38.5019,Hotel Pousada São José
108,Atuona,PF,79.36,clear sky,-9.8,-139.0333,Villa Enata
110,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
115,Veraval,IN,76.5,clear sky,20.9,70.3667,Lords Inn Somnath
116,Kavaratti,IN,82.15,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
118,San Jose,US,78.49,scattered clouds,37.3394,-121.895,The Westin San Jose
126,Paka,MY,76.98,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
127,Half Moon Bay,US,78.55,scattered clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
130,Varzea Da Palma,BR,82.96,broken clouds,-17.5981,-44.7308,Casa Fernandes
134,Riyadh,SA,77.14,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
135,Cabo San Lucas,MX,80.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
136,Kavieng,PG,77.22,moderate rain,-2.5744,150.7967,Nusa Island Retreat
141,Pedasi,PA,83.14,overcast clouds,7.5333,-80.0333,Selina Pedasi
143,Cayenne,GF,80.1,light rain,4.9333,-52.3333,Hôtel Le Dronmi
144,Saint-Philippe,RE,76.59,very heavy rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
146,Ruwi,OM,82.09,scattered clouds,23.5996,58.5507,Al Falaj Hotel
149,Tamiahua,MX,81.48,few clouds,21.2667,-97.45,Mission Of The Sun Hotel
151,Sur,OM,82.56,broken clouds,22.5667,59.5289,Sur Plaza Hotel
154,La Libertad,EC,80.26,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
156,Muli,MV,82.4,few clouds,2.9167,73.5667,Medhufushi Island Resort
157,Rawson,AR,79.5,few clouds,-43.3002,-65.1023,Hosteria Sampedro
160,Arawa,PG,78.01,overcast clouds,-6.2132,155.5367,Coastline Guest House
169,Vallenar,CL,77.58,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
175,Pangai,TO,80.67,clear sky,-19.8,-174.35,Ha'apai Beach Resort
176,Tarakan,ID,76.68,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
185,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
186,Kapaa,US,77.18,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
192,Padang,ID,76.24,scattered clouds,-0.9492,100.3543,Mercure Padang
193,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
196,Bondoukou,CI,79.9,overcast clouds,8.0333,-2.8,Prestige Hotel
197,Sao Joao Da Barra,BR,82.49,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
201,Bilma,NE,85.44,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
205,Faanui,PF,81.9,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
209,Amahai,ID,77.32,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
210,Morant Bay,JM,88.72,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
211,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
215,Karratha,AU,80.24,clear sky,-20.7377,116.8463,ibis Styles Karratha
216,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
218,Palasa,IN,76.98,clear sky,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
219,Keti Bandar,PK,78.19,clear sky,24.1447,67.4497,Haji laloo memon house
220,Nanga Eboko,CM,79.21,overcast clouds,4.6833,12.3667,Motel Papi Palace
221,Cabinda,AO,77.86,light rain,-5.55,12.2,Hotel Maiombe
222,Hobyo,SO,81.45,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
226,Maceio,BR,83.64,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
230,Natal,BR,84.42,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
235,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
237,Port Hedland,AU,80.65,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
239,Jeremie,HT,80.37,scattered clouds,18.65,-74.1167,Auberge’Inn
240,Delvada,IN,75.25,clear sky,20.7667,71.0333,Hotel Shivam
243,Kuala Terengganu,MY,78.75,broken clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
245,Codajas,BR,75.4,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
247,Port-Gentil,GA,80.04,overcast clouds,-0.7193,8.7815,Fengshui Residence
249,Pirojpur,BD,76.55,broken clouds,22.5667,89.9833,"Circuit House, Pirojpur"
253,Noumea,NC,82.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
258,Bucerias,MX,75.18,scattered clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
262,Kencong,ID,75.0,overcast clouds,-8.2833,113.3667,GUBUK SUGIANTO
265,Palpa,PE,83.32,broken clouds,-14.5336,-75.1856,Palpa Lines
268,Presidente Medici,BR,79.43,overcast clouds,-11.1753,-61.9014,Oliveira Palace Hotel
269,Humberto De Campos,BR,78.22,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
272,Catuday,PH,77.95,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
276,Bandarbeyla,SO,78.66,broken clouds,9.4942,50.8122,JABIR HOTEL
278,Acarau,BR,77.38,broken clouds,-2.8856,-40.12,castelo pizzaria
284,Santa Maria,BR,76.3,few clouds,-29.6842,-53.8069,Hotel Morotin
294,Portobelo,PA,80.2,scattered clouds,9.55,-79.65,Scuba Portobelo
299,Meulaboh,ID,77.47,overcast clouds,4.1363,96.1285,Kost Pria
306,Ko Samui,TH,81.41,overcast clouds,9.5357,99.9357,The Passage
310,Balabac,PH,80.83,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
313,Manokwari,ID,78.98,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
315,Celestun,MX,83.55,overcast clouds,20.8667,-90.4,Posada Lilia
318,Kudahuvadhoo,MV,82.26,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
319,Elat,IL,80.44,clear sky,29.5581,34.9482,Club Hotel Eilat
328,Lakatoro,VU,79.45,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
335,Honiara,SB,80.15,overcast clouds,-9.4333,159.95,Heritage Park Hotel
337,Saint George,US,81.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
338,Raybag,IN,75.4,few clouds,16.4833,74.7833,SHREE RAM TRADERS
340,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
341,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Pirineos
342,Caraballeda,VE,87.87,few clouds,10.6112,-66.8522,Hotel 15 Letras
343,Santa Rosa,PH,79.02,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
356,Kirakira,SB,78.64,light rain,-10.4544,161.9205,SanBiz Lodge
359,Rivadavia,AR,76.23,clear sky,-33.1905,-68.4608,Posada Del Fin Del Mundo
362,Buala,SB,80.58,light rain,-8.145,159.5921,Maringe Lagoon Lodge
363,Touros,BR,80.42,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
366,Ternate,ID,79.32,light rain,0.8,127.4,Sahid Bela Ternate Hotel
369,Sokoni,TZ,82.26,clear sky,-6.4333,39.55,Ujamaa Beach Resort
372,Ca Mau,VN,77.77,heavy intensity rain,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
379,Cabatuan,PH,75.79,overcast clouds,10.8794,122.486,MVC Transient Room
391,Domoni,KM,78.85,few clouds,-12.2569,44.5319,Al Djadid
398,Eyl,SO,78.58,broken clouds,7.9803,49.8164,Amiin Hotel
399,Tautira,PF,82.02,overcast clouds,-17.7333,-149.15,Pension Oaoa
401,Sao Gabriel Da Cachoeira,BR,75.61,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
403,Sao Miguel Do Araguaia,BR,81.16,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
406,Samarai,PG,81.23,overcast clouds,-10.6167,150.6667,Nuli Sapi
408,Media Luna,CU,83.14,few clouds,20.1419,-77.435,Casa particular Pedro y Tamara
409,Bae,ID,75.65,overcast clouds,-6.7681,110.8617,@HOM Hotel by Horison
411,Bengkulu,ID,75.33,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
418,Namatanai,PG,77.47,light rain,-3.6667,152.4333,Seagulls Inn Namatani
419,Oroville,US,79.16,clear sky,39.5138,-121.5564,"Holiday Inn Express & Suites Oroville Lake, an IHG Hotel"
423,Camocim,BR,77.85,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
424,Atar,MR,79.97,clear sky,20.5169,-13.0499,Oumou Elghoura
425,Hattiesburg,US,79.12,clear sky,31.3271,-89.2903,Deluxe Inn
426,Kulhudhuffushi,MV,82.26,clear sky,6.6221,73.07,Haajy Guest House 1
427,San Ramon,US,77.76,clear sky,37.7799,-121.978,San Ramon Marriott
428,Liozon,PH,78.21,overcast clouds,15.3993,119.933,Ocean View Beach House
431,Ixtapa,MX,87.98,clear sky,20.7,-105.2,hotel la terminal
435,Matara,LK,75.78,few clouds,5.9485,80.5353,Amaloh Boutique Resort
439,Bambanglipuro,ID,75.97,broken clouds,-7.95,110.2833,Puri Brata
441,Tual,ID,81.9,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
442,Sao Bernardo,BR,76.12,moderate rain,-3.3614,-42.4178,Hotel Prado
449,Benguela,AO,76.96,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
453,Chimore,BO,79.29,clear sky,-16.9833,-65.1333,Bichito
456,Turbat,PK,82.15,broken clouds,26.0023,63.044,Mubashar Quarters
457,Lucea,JM,80.46,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
459,Abu Zabad,SD,83.12,few clouds,12.35,29.25,حامد محمد نور
464,Pandan,PH,79.74,overcast clouds,14.0453,124.1694,Bonifacio Lodge
470,Selma,US,79.21,broken clouds,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
471,Ibra,OM,75.72,few clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
474,San Policarpo,PH,79.75,broken clouds,12.1791,125.5072,Agapita M. Nicart
477,Aquiraz,BR,82.49,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
478,Rio Grande,BR,75.31,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
485,Turayf,SA,75.45,clear sky,31.6725,38.6637,Turaif
486,Sakakah,SA,81.97,overcast clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
488,Manaus,BR,77.5,thunderstorm with light rain,-3.1019,-60.025,Manaus Hotéis Millennium
490,Kloulklubed,PW,75.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
492,Pipri,IN,85.19,overcast clouds,19.8,75.5333,Sukhana River nilu and rushi home
496,Abu Dhabi,AE,75.31,clear sky,24.4667,54.3667,Beach Rotana
500,Chopda,IN,85.91,overcast clouds,21.25,75.3,CHACHA BHATIJA AAMLET CENTAR
503,Aswan,EG,88.9,clear sky,24.0934,32.907,Nuba Nile
506,Alibag,IN,80.67,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
