City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Jurm,AF,2022-04-02 20:35:26,36.8648,70.8342,48.96,72,99,1.23,overcast clouds
1,Narasannapeta,IN,2022-04-02 20:35:27,18.4167,84.05,78.57,90,6,9.22,clear sky
2,Klaksvik,FO,2022-04-02 20:35:27,62.2266,-6.589,43.72,86,100,19.57,overcast clouds
3,Constitucion,CL,2022-04-02 20:33:16,-35.3333,-72.4167,61.65,84,56,14.43,broken clouds
4,Tuatapere,NZ,2022-04-02 20:35:27,-46.1333,167.6833,51.98,85,36,2.46,scattered clouds
5,Bom Jesus,BR,2022-04-02 20:35:28,-9.0744,-44.3586,85.41,45,80,3.6,broken clouds
6,Barrow,US,2022-04-02 20:35:02,71.2906,-156.7887,-7.58,84,0,10.36,haze
7,Pangnirtung,CA,2022-04-02 20:35:28,66.1451,-65.7125,22.01,96,91,2.91,overcast clouds
8,Yellowknife,CA,2022-04-02 20:35:28,62.456,-114.3525,3.72,46,20,2.3,few clouds
9,Siderno,IT,2022-04-02 20:35:29,38.2779,16.302,46.33,74,9,11.16,clear sky
10,Gao,ML,2022-04-02 20:33:33,16.6362,1.637,87.21,4,4,6.98,clear sky
11,Camacha,PT,2022-04-02 20:35:29,33.0833,-16.3333,58.42,77,40,12.66,scattered clouds
12,Ha Tinh,VN,2022-04-02 20:32:08,18.3333,105.9,62.08,73,100,10.29,overcast clouds
13,Hithadhoo,MV,2022-04-02 20:35:29,-0.6,73.0833,82.85,70,12,6.17,few clouds
14,Ushuaia,AR,2022-04-02 20:35:30,-54.8,-68.3,40.66,93,100,4.61,light intensity drizzle
15,Punta Arenas,CL,2022-04-02 20:33:56,-53.15,-70.9167,44.71,81,40,10.36,scattered clouds
16,Dhone,IN,2022-04-02 20:35:30,15.4167,77.8833,81.59,40,6,8.88,clear sky
17,Killybegs,IE,2022-04-02 20:35:30,54.6333,-8.45,41.52,77,9,7.31,clear sky
18,Port Elizabeth,ZA,2022-04-02 20:32:11,-33.918,25.5701,63.32,91,100,4.0,overcast clouds
19,Tecoanapa,MX,2022-04-02 20:35:31,16.5167,-98.75,85.42,44,97,11.86,overcast clouds
20,Castro,BR,2022-04-02 20:35:31,-24.7911,-50.0119,60.51,95,100,5.46,overcast clouds
21,Rikitea,PF,2022-04-02 20:35:31,-23.1203,-134.9692,74.39,55,17,5.64,few clouds
22,Kodiak,US,2022-04-02 20:35:31,57.79,-152.4072,36.91,93,20,5.75,moderate rain
23,Cape Town,ZA,2022-04-02 20:32:00,-33.9258,18.4232,65.26,72,0,13.8,clear sky
24,Tiksi,RU,2022-04-02 20:35:32,71.6872,128.8694,-7.35,100,100,4.92,overcast clouds
25,Mahebourg,MU,2022-04-02 20:35:32,-20.4081,57.7,75.49,94,75,11.5,light rain
