City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2022-04-02 02:36:43,-33.9258,18.4232,64.11,67,0,21.85
1,Vaini,TO,2022-04-02 02:35:34,-21.2,-175.2,84.36,79,75,4.61
2,New Norfolk,AU,2022-04-02 02:38:13,-42.7826,147.0587,61.92,55,89,4.0
3,Tiksi,RU,2022-04-02 02:32:44,71.6872,128.8694,13.75,88,59,5.64
4,Saint-Augustin,CA,2022-04-02 02:40:41,51.226,-58.6502,30.47,97,100,24.85
5,Ostrovnoy,RU,2022-04-02 02:40:42,68.0531,39.5131,10.13,95,84,12.66
6,Tasiilaq,GL,2022-04-02 02:35:13,65.6145,-37.6368,33.96,89,100,9.55
7,Namibe,AO,2022-04-02 02:40:43,-15.1961,12.1522,70.45,85,97,4.52
8,Rikitea,PF,2022-04-02 02:33:48,-23.1203,-134.9692,75.36,63,7,12.1
9,Olafsvik,IS,2022-04-02 02:40:43,64.8945,-23.7142,41.5,91,100,10.02
10,Puerto Carreno,CO,2022-04-02 02:40:44,6.189,-67.4859,87.39,49,100,3.56
11,Chokurdakh,RU,2022-04-02 02:36:44,70.6333,147.9167,-0.72,83,40,3.47
12,Bluff,NZ,2022-04-02 02:33:59,-46.6,168.3333,59.47,72,77,17.47
13,Ushuaia,AR,2022-04-02 02:35:34,-54.8,-68.3,38.86,81,20,5.75
14,Kapaa,US,2022-04-02 02:35:39,22.0752,-159.319,82.38,90,75,18.41
15,Moron,AR,2022-04-02 02:40:44,-34.6534,-58.6198,62.35,77,45,7.07
16,Goure,NE,2022-04-02 02:40:44,13.9835,10.2704,74.32,7,6,7.31
17,Tefe,BR,2022-04-02 02:40:45,-3.3542,-64.7114,74.14,98,93,2.71
18,Tuktoyaktuk,CA,2022-04-02 02:35:39,69.4541,-133.0374,-16.6,76,0,5.75
19,Bubaque,GW,2022-04-02 02:40:45,11.2833,-15.8333,74.23,73,4,15.01
20,Karasburg,NA,2022-04-02 02:40:45,-28.0167,18.75,62.96,31,0,1.36
21,Sao Filipe,CV,2022-04-02 02:40:46,14.8961,-24.4956,70.36,82,12,6.49
